id,name,address,number,picture,stars,quality,delivery,accuracy
0,"Swift, Douglas and Cronin","355 Jamie Harbors","285.346.5655 x810","http://lorempixel.com/640/480/food",1,61,28,63
1,"Stamm - Stanton","94594 Wellington Turnpike","344.040.6127","http://lorempixel.com/640/480/food",2,97,43,19
2,"Luettgen, Robel and Grimes","0527 Reta Locks","(642) 639-3857 x229","http://lorempixel.com/640/480/food",1,28,97,49
3,"Schuster, Kutch and Marks","63912 Hailey Ridge","104-123-2628 x98398","http://lorempixel.com/640/480/food",0,76,85,98
4,"Rohan - Kuhic","515 Ettie Summit","761-834-7097","http://lorempixel.com/640/480/food",5,39,73,93
5,"Marks and Sons","0323 Kris Common","1-030-881-8939","http://lorempixel.com/640/480/food",0,4,42,20
6,"Lind Group","59872 Satterfield Brooks","1-651-984-2895 x72596","http://lorempixel.com/640/480/food",4,100,28,7
7,"Davis - Deckow","19495 Reid Village","266-363-5780 x8307","http://lorempixel.com/640/480/food",0,94,97,75
8,"DuBuque - Schroeder","401 Cecile Stream","1-263-223-4133","http://lorempixel.com/640/480/food",3,2,10,18
9,"Jenkins - Connelly","894 Deron Throughway","272.908.6376","http://lorempixel.com/640/480/food",0,36,86,26
10,"Olson, Beatty and Wilderman","715 Davion Expressway","180.091.5503 x221","http://lorempixel.com/640/480/food",1,75,0,61
11,"Carter, Bosco and Cassin","3054 Stroman Inlet","(555) 712-0764","http://lorempixel.com/640/480/food",4,74,45,34
12,"Hane - Will","29801 Howell Stream","466.317.9634","http://lorempixel.com/640/480/food",5,66,22,65
13,"Considine, O'Hara and Boehm","40412 Tania Forge","694.995.9351 x887","http://lorempixel.com/640/480/food",4,53,67,9
14,"Mitchell LLC","028 Bennett Cliffs","(522) 370-1445","http://lorempixel.com/640/480/food",0,31,67,66
15,"Hickle - Romaguera","9750 Hermiston Prairie","(779) 925-6790","http://lorempixel.com/640/480/food",1,10,49,95
16,"Dooley - Beer","971 Gutmann Fort","1-063-928-9985","http://lorempixel.com/640/480/food",0,67,77,73
17,"Tillman - Nitzsche","15778 Volkman Loop","275.950.1804 x8916","http://lorempixel.com/640/480/food",2,13,27,51
18,"Lueilwitz, Turcotte and Lynch","57786 Lawson Station","(456) 867-9540 x89298","http://lorempixel.com/640/480/food",0,8,33,37
19,"Hartmann, Donnelly and Weimann","3968 Morar Fields","1-750-174-9056","http://lorempixel.com/640/480/food",2,54,65,71
20,"Rice, Steuber and Gerlach","77262 Kristopher Spring","(269) 449-1441 x762","http://lorempixel.com/640/480/food",3,94,79,72
21,"Hayes, Frami and Dicki","805 Ullrich Dale","(052) 511-8729 x253","http://lorempixel.com/640/480/food",1,20,81,76
22,"Bartell Group","9554 Tyrique Curve","826-312-8544","http://lorempixel.com/640/480/food",0,11,68,7
23,"Treutel Group","94632 Ahmed Rue","1-643-265-4141 x169","http://lorempixel.com/640/480/food",2,95,2,79
24,"Ledner, Crooks and Gislason","0912 Walter Stream","1-596-098-4300 x1266","http://lorempixel.com/640/480/food",5,57,12,10
25,"Ritchie Inc","846 Providenci Field","714-211-0964 x683","http://lorempixel.com/640/480/food",5,76,51,57
26,"Powlowski - Graham","1450 Brant Circles","1-915-847-9853 x904","http://lorempixel.com/640/480/food",0,52,60,1
27,"Bahringer - Hermiston","81596 Grant Port","646-915-0134","http://lorempixel.com/640/480/food",4,92,9,80
28,"Gutmann Group","4567 Runolfsdottir Parkway","792.547.2311 x8961","http://lorempixel.com/640/480/food",2,4,54,2
29,"Champlin, Simonis and Rath","7963 Torp Pass","415.304.3756","http://lorempixel.com/640/480/food",5,44,79,14
30,"Eichmann - Miller","5938 Lelah Station","(512) 678-7503","http://lorempixel.com/640/480/food",2,67,75,63
31,"Conn, Haley and Christiansen","395 Veum Rapid","1-602-867-2455 x9682","http://lorempixel.com/640/480/food",5,2,12,0
32,"Cummings - Schiller","90296 Geovanni Spurs","689.545.6940 x8384","http://lorempixel.com/640/480/food",4,69,73,9
33,"Gulgowski, Price and VonRueden","976 Ryan Islands","1-629-693-1931 x98245","http://lorempixel.com/640/480/food",1,80,89,41
34,"Doyle, Stracke and Kassulke","44786 Wuckert Place","1-771-072-1917","http://lorempixel.com/640/480/food",0,64,10,72
35,"Powlowski Inc","1814 Winston Green","266-975-3902 x351","http://lorempixel.com/640/480/food",0,63,84,26
36,"Rohan Inc","1354 Stiedemann Ridges","1-984-301-7959 x6070","http://lorempixel.com/640/480/food",3,10,12,25
37,"Mueller Group","38872 Caterina Lodge","(571) 626-8313 x58974","http://lorempixel.com/640/480/food",4,89,96,55
38,"Terry, Hansen and Beier","12488 Bartell Pine","527.785.0599 x785","http://lorempixel.com/640/480/food",1,23,56,34
39,"Cole Group","7765 Suzanne Plains","(567) 906-9751 x160","http://lorempixel.com/640/480/food",2,98,90,3
40,"Kessler, Homenick and Lesch","94470 Jillian Corner","380.831.4233 x961","http://lorempixel.com/640/480/food",5,12,14,39
41,"Hamill and Sons","02819 Beatty Ville","133.108.7767 x1214","http://lorempixel.com/640/480/food",4,73,36,89
42,"Mosciski, Grady and Champlin","0548 Schamberger Place","039.217.6380","http://lorempixel.com/640/480/food",4,3,93,28
43,"Mohr, Wyman and Gibson","735 Kelly Estate","(954) 201-3990 x985","http://lorempixel.com/640/480/food",3,77,5,25
44,"Wilkinson Group","17720 Stefan Mountains","365-213-1393 x22156","http://lorempixel.com/640/480/food",2,95,96,84
45,"Predovic, Purdy and Torp","602 Veum Fords","504-567-7133 x66021","http://lorempixel.com/640/480/food",2,38,39,47
46,"Kulas, Heaney and Waters","4533 Russell Harbor","385.339.8815 x0616","http://lorempixel.com/640/480/food",1,87,61,27
47,"Kuhn - Beatty","495 Effertz Stream","1-427-690-2859","http://lorempixel.com/640/480/food",4,82,64,13
48,"Wyman - Champlin","13784 Liam Alley","(884) 501-0332 x82266","http://lorempixel.com/640/480/food",0,65,38,2
49,"Parisian, Brekke and Effertz","4808 Tate Plaza","586-626-9730","http://lorempixel.com/640/480/food",0,79,0,85
50,"Hudson - Heaney","13699 Fritsch Freeway","1-220-577-5846 x97257","http://lorempixel.com/640/480/food",5,69,79,64
51,"Greenfelder, Beier and Jast","0995 Ratke Divide","1-840-117-8792","http://lorempixel.com/640/480/food",1,21,45,67
52,"Wolff, Streich and Miller","778 Kurt Path","(824) 260-7154 x661","http://lorempixel.com/640/480/food",3,22,9,47
53,"Gulgowski Inc","741 Sanford Street","(550) 081-8225 x15862","http://lorempixel.com/640/480/food",4,79,83,5
54,"Daugherty - Gislason","6722 Kreiger Mews","682.938.7531","http://lorempixel.com/640/480/food",0,91,16,56
55,"Schmeler, Ebert and King","831 Deonte Branch","457-165-1904","http://lorempixel.com/640/480/food",5,24,10,42
56,"Kihn - Bogan","35837 Shane Villages","413.958.3276","http://lorempixel.com/640/480/food",1,63,32,37
57,"Beahan - Fisher","22425 Leuschke Flats","1-475-780-9779 x72066","http://lorempixel.com/640/480/food",3,84,97,23
58,"Vandervort - Pollich","134 Sierra Green","432-055-1367 x463","http://lorempixel.com/640/480/food",5,87,33,60
59,"Streich - Lowe","4996 Karina Glens","966.575.2591","http://lorempixel.com/640/480/food",5,8,85,35
60,"Rath, Upton and Bins","6617 Kavon Roads","637-108-0008 x09442","http://lorempixel.com/640/480/food",3,58,51,71
61,"Lakin, Predovic and Hettinger","0533 Durgan Center","(179) 947-5145 x757","http://lorempixel.com/640/480/food",4,37,4,69
62,"Mayert, Schowalter and Wilderman","01973 Orpha Park","674-875-9574","http://lorempixel.com/640/480/food",1,94,47,56
63,"Von, McKenzie and Jaskolski","30526 Jena Fields","644.995.0228","http://lorempixel.com/640/480/food",2,2,6,60
64,"Russel - Hauck","44918 Kub Summit","1-401-292-8438 x23364","http://lorempixel.com/640/480/food",2,35,73,53
65,"Johnson - Klocko","075 Jadyn Street","1-833-780-6416 x805","http://lorempixel.com/640/480/food",2,48,82,72
66,"Stokes - Abbott","301 Ferry Turnpike","(873) 437-4793 x3487","http://lorempixel.com/640/480/food",1,62,33,0
67,"Labadie Inc","715 Myles Trail","945.089.6218","http://lorempixel.com/640/480/food",1,61,31,88
68,"Waelchi - Schuster","25052 Rohan Hollow","270-118-5740","http://lorempixel.com/640/480/food",2,12,14,83
69,"Ebert - Reinger","816 Mueller Meadow","(832) 859-5135","http://lorempixel.com/640/480/food",0,14,86,98
70,"Lebsack Group","44084 Omari Grove","(477) 929-4494 x7159","http://lorempixel.com/640/480/food",3,86,98,75
71,"Schulist, Senger and Wisozk","698 O'Conner Harbor","324.656.2357 x5768","http://lorempixel.com/640/480/food",3,12,66,35
72,"Wyman Group","3357 Emilio Knolls","(147) 440-1123 x213","http://lorempixel.com/640/480/food",2,85,23,48
73,"Abshire, Legros and O'Reilly","5579 Juliet Meadows","1-243-437-4408","http://lorempixel.com/640/480/food",3,46,88,96
74,"Veum LLC","89238 Marquardt Ways","1-191-314-0122","http://lorempixel.com/640/480/food",2,93,49,37
75,"Larkin Inc","96119 Perry Ford","1-712-589-1931","http://lorempixel.com/640/480/food",3,90,54,21
76,"Ortiz, Huels and Lesch","88160 Harris Forks","245.844.6752 x9669","http://lorempixel.com/640/480/food",5,98,73,60
77,"Bashirian - Fadel","8588 McGlynn Points","005-176-5702","http://lorempixel.com/640/480/food",0,19,37,58
78,"Koch, Mertz and Treutel","37908 Kub Mission","1-099-446-5546 x8456","http://lorempixel.com/640/480/food",4,29,97,4
79,"Brekke Inc","064 Chaim Summit","957-336-9940 x04611","http://lorempixel.com/640/480/food",2,66,0,25
80,"Prosacco - Beatty","8218 Queenie Tunnel","072.242.0146 x90866","http://lorempixel.com/640/480/food",3,59,60,9
81,"Mraz, Connelly and Reichel","2048 Florence Rapid","1-343-112-7952 x63523","http://lorempixel.com/640/480/food",4,1,63,79
82,"Raynor - Emmerich","39515 Colton Plains","494.101.3217 x135","http://lorempixel.com/640/480/food",1,99,40,79
83,"Hettinger, Prosacco and Green","55205 Mann Park","995-108-0700 x3973","http://lorempixel.com/640/480/food",5,77,75,43
84,"Shanahan Inc","1401 Effertz Keys","949-846-9185 x9883","http://lorempixel.com/640/480/food",1,67,6,2
85,"Gibson, Boyle and Hettinger","26343 Farrell Bypass","(910) 754-8730 x1000","http://lorempixel.com/640/480/food",0,18,83,76
86,"Hahn LLC","6971 Florencio Square","(619) 810-0148","http://lorempixel.com/640/480/food",5,36,15,86
87,"Mayer, Muller and Abbott","11491 Hammes Green","561.111.6602 x892","http://lorempixel.com/640/480/food",0,80,94,96
88,"Lesch Inc","886 Reina Mountain","871.807.0339 x185","http://lorempixel.com/640/480/food",2,88,4,51
89,"Glover LLC","2995 Schuppe Expressway","(396) 763-3674 x892","http://lorempixel.com/640/480/food",2,37,46,69
90,"Paucek, Kuphal and Considine","62427 Rohan Street","1-537-706-0242 x3434","http://lorempixel.com/640/480/food",5,75,89,91
91,"Stokes - Runte","014 Brendon Fort","085-557-1734 x52925","http://lorempixel.com/640/480/food",4,9,40,68
92,"Kertzmann, DuBuque and McLaughlin","354 Davis Tunnel","983.850.9898 x63296","http://lorempixel.com/640/480/food",1,32,71,4
93,"Lockman - Mraz","1149 Gislason Village","515-805-0755","http://lorempixel.com/640/480/food",4,14,36,42
94,"Kessler - Fisher","2422 Moen Burgs","1-990-210-5478","http://lorempixel.com/640/480/food",2,8,24,51
95,"Brekke - Jast","28064 Kuphal Forks","1-556-347-7784 x44317","http://lorempixel.com/640/480/food",5,2,40,49
96,"Brekke and Sons","57188 Bergnaum Spur","493.868.3402 x773","http://lorempixel.com/640/480/food",0,96,29,40
97,"Sanford Group","367 Nikolaus Knolls","826-336-1720","http://lorempixel.com/640/480/food",4,46,46,68
98,"Nicolas - Rowe","685 Joanie Brook","(841) 398-2779","http://lorempixel.com/640/480/food",0,97,44,96
